[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.90323,0.00075,1.97708,-1.23179,2.50347,0.21021,,0.0,5 x 5,309.6,311.2,4150.0,8.5,8.7,349 x 24,6.92,-0.08197,0.00072,1.75293,-0.64663,-0.24949,0.19594,61.0,288.1,0.065
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.89757,0.00076,2.05562,-1.25492,2.4939,0.20777,,0.0,5 x 5,300.0,302.1,4160.0,9.1,9.5,147 x 142,7.78,-0.08731,0.00067,1.8482,-0.67753,-0.26705,0.19481,41.0,278.1,0.063
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.89113,0.00081,2.14792,-1.28605,2.48075,0.20616,85.0,319.8,5 x 5,290.7,293.1,4170.0,9.7,10.0,85 x 44,6.95,-0.09335,0.00076,1.92876,-0.69845,-0.28309,0.19304,21.0,268.1,0.06
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.89956,0.00082,2.02382,-1.19067,2.51116,0.19476,1.0,335.62,100 x 115,282.1,288.0,4175.0,9.8,10.1,301 x 113,9.01,-0.09461,0.0008,1.95507,-0.69927,-0.28827,0.1909,7.0,263.1,0.059
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.88878,0.00081,2.18153,-1.27592,2.48056,0.20062,,0.0,5 x 5,280.9,282.9,4180.0,10.3,10.6,84 x 43,11.7,-0.09895,0.00077,2.01493,-0.72054,-0.30042,0.1899,2.0,258.1,0.058
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.88233,0.00087,2.27852,-1.30515,2.46622,0.19949,,0.0,5 x 5,272.0,273.6,4190.0,10.7,11.0,235 x 67,10.57,-0.10286,0.00085,2.08384,-0.7305,-0.31381,0.18675,7.0,248.1,0.056
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.87548,0.00093,2.36172,-1.32416,2.45362,0.19662,1.0,314.06,5 x 5,262.7,264.3,4200.0,11.4,11.7,219 x 67,10.85,-0.11026,0.00089,2.17801,-0.75433,-0.33406,0.18509,22.0,238.1,0.054
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.86884,0.00092,2.45062,-1.34587,2.43993,0.19367,,0.0,5 x 5,253.2,255.4,4210.0,12.3,12.7,75 x 96,13.6,-0.11755,0.00095,2.28967,-0.78725,-0.35759,0.18357,7.0,228.1,0.051
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.86325,0.00103,2.52824,-1.35759,2.42758,0.19039,,0.0,5 x 5,243.9,245.9,4220.0,13.1,13.5,57 x 37,9.7,-0.12518,0.00101,2.38858,-0.81065,-0.38019,0.18129,12.0,218.1,0.049
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-09-08,1694203200,24.0,0.85825,0.00097,2.59067,-1.37875,2.41547,0.19036,,0.0,5 x 5,239.7,241.5,4225.0,13.5,13.9,70 x 36,12.21,-0.12924,0.001,2.43827,-0.82127,-0.39097,0.18057,3.0,213.1,0.048
